id,name,category,speedup,techniques,description,reference_urls,source_url
solving-exponential-congruences,Solving Exponential Congruences,Algebraic and Number Theoretic Algorithms,Polynomial,,"We are given \( a,b,c,f,g \in \mathbb{F}_q \). We must find integers \(x,y\) such that \( a f^x + b g^y = c \). As shown in [ 111 ], quantum computers can solve this problem in \( \widetilde{O}(q^{3/8}) \) time whereas the best classical algorithm requires \( \widetilde{O}(q^{9/8}) \) time. The quantum algorithm of [ 111 ] is based on the quantum algorithms for discrete logarithms and searching.",,https://quantumalgorithmzoo.org/
subset-sum,Subset-sum,Algebraic and Number Theoretic Algorithms,Polynomial,quantum walk,"Given a list of integers \( x_1,\ldots,x_n \), and a target integer s , the subset-sum problem is to determine whether the sum of any subset of the given integers adds up to s . This problem is NP-complete, and therefore is unlikely to be solvable by classical or quantum algorithms with polynomial worst-case complexity. In the hard instances the given integers are of order \( 2^n \) and much research on subset sum focuses on average case instances in this regime. In [ 178 ], a quantum algorithm is given that solves such instances in time \( 2^{0.241n} \), up to polynomial factors. This quantum algorithm works by applying a variant of Ambainis's quantum walk algorithm for element-distinctness [ 7 ] to speed up a sophisticated classical algorithm for this problem due to Howgrave-Graham and Joux. The fastest known classical algorithm for such instances of subset-sum runs in time \( 2^{0.291n} \), up to polynomial factors [ 404 ].",,https://quantumalgorithmzoo.org/
unit-group,Unit Group,Algebraic and Number Theoretic Algorithms,Superpolynomial,,"The number field \( \mathbb{Q}(\theta) \) is said to be of degree d if the lowest degree polynomial of which \( \theta \) is a root has degree d . The set \( \mathcal{O} \) of elements of \( \mathbb{Q}(\theta) \) which are roots of monic polynomials in \( \mathbb{Z}[x] \) forms a ring, called the ring of integers of \( \mathbb{Q}(\theta) \). The set of units (invertible elements) of the ring \( \mathcal{O} \) form a group denoted \( \mathcal{O}^* \). As shown by Hallgren [ 50 ], and independently by Schmidt and Vollmer [ 116 ], for any \( \mathbb{Q}(\theta) \) of fixed degree, a quantum computer can find in polynomial time a set of generators for \( \mathcal{O}^* \) given a description of \( \theta \). No polynomial time classical algorithm for this problem is known. Hallgren and collaborators subsequently discovered how to achieve polynomial scaling in the degree [ 213 ]. See also [ 329 ]. The algorithms rely on solving Abelian hidden subgroup problems over the additive group of real numbers.",,https://quantumalgorithmzoo.org/
verifying-matrix-products,Verifying Matrix Products,Algebraic and Number Theoretic Algorithms,Polynomial,quantum walk; matrix product,"Given three \( n \times n \) matrices, A,B , and C , the matrix product verification problem is to decide whether AB=C . Classically, the best known (randomized) algorithm achieves this in time \( O(n^2) \), whereas the best known classical algorithm for matrix multiplication runs in time \( O(n^{2.373}) \). Ambainis et al. discovered a quantum algorithm for this problem with runtime \( O(n^{7/4}) \) [ 6 ]. Subsequently, Buhrman and Špalek improved upon this, obtaining a quantum algorithm for this problem with runtime \( O(n^{5/3}) \) [ 19 ]. This latter algorithm is based on results regarding quantum walks that were proven in [ 85 ].",,https://quantumalgorithmzoo.org/
knot-invariants,Knot Invariants,Approximation and Simulation Algorithms,Superpolynomial,,"As shown by Freedman [ 42 , 41 ], et al. , finding a certain additive approximation to the Jones polynomial of the plat closure of a braid at \( e^{i 2 \pi/5} \) is a BQP-complete problem. This result was reformulated and extended to \( e^{i 2 \pi/k} \) for arbitrary k by Aharonov et al. [ 4 , 2 ]. Wocjan and Yard further generalized this, obtaining a quantum algorithm to estimate the HOMFLY polynomial [ 93 ], of which the Jones polynomial is a special case. Recent work has yielded quantum algorithms for estimating other topological invariants including Betti numbers [ 510 ] and Khovanov Homology [ 511 ]. (See also topological data analysis under machine learning .) Aharonov et al. showed that, for planar graphs, quantum computers can in polynomial time estimate a certain additive approximation to the Tutte polynomial [ 3 ], which is an object that includes Jones polynomials as a special case. It is not fully understood for what range of parameters the approximation obtained in [ 3 ] is BQP-hard. (See also partition functions .) Polynomial-time quantum algorithms have also been discovered for additively approximating link invariants arising from quantum doubles of finite groups [ 174 ]. (This problem is not known to be BQP-hard.) As shown in [ 83 ], the problem of finding a certain additive approximation to the Jones polynomial of the trace closure of a braid at \( e^{i 2 \pi/5} \) is DQC1-complete.",,https://quantumalgorithmzoo.org/
matrix-powers,Matrix Powers,Approximation and Simulation Algorithms,Superpolynomial,,"Quantum computers have an exponential advantage in approximating matrix elements of powers of exponentially large sparse matrices. Suppose we are have an \( N \times N \) symmetric matrix A such that there are at most polylog( N ) nonzero entries in each row, and given a row index, the set of nonzero entries can be efficiently computed. The task is, for any 1 < i < N , and any m polylogarithmic in N , to approximate \( (A^m)_{ii} \) the \( i^{\mathrm{th}} \) diagonal matrix element of \( A^m \). The approximation is additive to within \( b^m \epsilon \) where b is a given upper bound on | A | and \( \epsilon \) is of order 1/polylog( N ). As shown by Janzing and Wocjan, this problem is PromiseBQP-complete, as is the corresponding problem for off-diagonal matrix elements [ 60 ]. Thus, quantum computers can solve it in polynomial time, but classical computers probably cannot.",,https://quantumalgorithmzoo.org/
partition-functions,Partition Functions,Approximation and Simulation Algorithms,Superpolynomial,quantum walk,"For a classical system with a finite set of states S the partition function is \( Z = \sum_{s \in S} e^{-E(s)/kT} \), where T is the temperature and k is Boltzmann's constant. Essentially every thermodynamic quantity can be calculated by taking an appropriate partial derivative of the partition function. The partition function of the Potts model is a special case of the Tutte polynomial. A quantum algorithm for approximating the Tutte polynomial is given in [ 3 ]. Some connections between these approaches are discussed in [ 67 ]. Additional algorithms for estimating partition functions on quantum computers are given in [ 112 , 113 , 45 , 47 ]. A BQP-completeness result (where the ""energies"" are allowed to be complex) is also given in [ 113 ]. A method for approximating partition functions by simulating thermalization processes is given in [ 121 ]. Polynomial speedups for the approximation of certain general classes partition functions are given in [ 122 , 471 ]. A method based on quantum walks, achieving polynomial speedup for evaluating partition functions is given in [ 265 ].",,https://quantumalgorithmzoo.org/
preparing-eigenstates-and-thermal-states,Preparing Eigenstates and Thermal States,Approximation and Simulation Algorithms,Superpolynomial,tensor network,"Although the problem of finding ground energies of local Hamiltonians is QMA-complete and therefore probably requires exponential time on a quantum computer in the worst case, quantum algorithms have been developed to approximate ground states [ 102 , 231 , 232 , 233 , 234 , 235 , 308 , 321 , 322 , 373 , 380 , 381 ], low energy states [ 463 ], and thermal states [ 132 , 121 , 281 , 282 , 307 , 456 , 491 , 500 , 502 ] for some classes of Hamiltonians. Quantum algorithms have also been developed to prepare equilibrium states for some classes of master equations [ 430 ]. Efficient quantum algorithms have been also obtained for preparing certain classes of tensor network states [ 323 , 324 , 325 , 326 , 327 , 328 ]. Interestingly, simulating Hamiltonian time evolution, as well as some problems preparing ground and thermal states can all be done as special cases of the quantum singular value transformation [ 433 ]. A versatile method for preparing eigenstates and thermal states of Hamiltonians by simulating a sequence of imaginary time evolutions and exploiting locality was introduced in [ 533 ].",,https://quantumalgorithmzoo.org/
probabilistic-sampling,Probabilistic Sampling,Approximation and Simulation Algorithms,Superpolynomial,,"Although most computational problems are formulated either as decision problems or search problems, one can also consider the complexity of sampling from a given distribution of bit strings. In [ 474 , 473 ], it was shown that quantum computers can efficiently sample from certain distributions that cannot be exactly sampled from by any efficient classical randomized algorithm unless the Polynomial Hierarchy collapses to the third level. Sampling problems of this type have subsequently been used in experiments demonstrating the ability of present-day quantum computers to perform tasks that are beyond the reach of classical supercomputers. This is sometimes referred to as ""quantum supremacy"". Some quantum algorithms achieving polynomial speedup for sampling problems with known practical applications have also been devised [ 475 ].",,https://quantumalgorithmzoo.org/
simulated-annealing,Simulated Annealing,Approximation and Simulation Algorithms,Polynomial,quantum walk,"In simulated annealing, one has a series of Markov chains defined by stochastic matrices \( M_1, M_2,\ldots,M_n \). These are slowly varying in the sense that their limiting distributions \( pi_1, \pi_2, \ldots, \pi_n \) satisfy \( |\pi_{t+1} -\pi_t| \lt \epsilon \) for some small \( \epsilon \). These distributions can often be thought of as thermal distributions at successively lower temperatures. If \( \pi_1 \) can be easily prepared, then by applying this series of Markov chains one can sample from \( \pi_n \). Typically, one wishes for \( \pi_n \) to be a distribution over good solutions to some optimization problem. Let \( \delta_i \) be the gap between the largest and second largest eigenvalues of \( M_i \). Let \( \delta = \min_i \delta_i \). The run time of this classical algorithm is proportional to \( 1/\delta \). Building upon results of Szegedy [ 135 , 85 ], Somma et al. have shown [ 84 , 177 ] that quantum computers can sample from \( \pi_n \) with a runtime proportional to \( 1/\sqrt{\delta} \). Additional methods by which classical Markov chain Monte Carlo algorithms can be sped up using quantum walks are given in [ 265 ].",,https://quantumalgorithmzoo.org/
simulating-quantum-hamiltonian-dynamics,Simulating Quantum Hamiltonian Dynamics,Approximation and Simulation Algorithms,Superpolynomial,,"The exponential complexity of classically simulating quantum systems led Feynman to first propose that quantum computers might outperform classical computers on certain tasks [ 40 ]. It is now believed that for any physically realistic Hamiltonian H on n degrees of freedom, the corresponding time evolution operator \( e^{-i H t} \) can be implemented using poly( n,t ) gates. Unless BPP=BQP, this problem is not solvable in general on a classical computer in polynomial time. Many techniques for quantum simulation have been developed in the abstract for general classes of Hamiltonians. Specifically, [ 95 , 92 , 372 , 278 ] consider n -body first-quantized Hamiltonians consisting of a kinetic term \( \sum_{i=1}^n \nabla_i^2 \) plus a potential term \( V(\mathbf{x}_1,\ldots,\mathbf{x}_n) \). The works [ 5 , 25 , 12 , 205 , 211 , 245 , 294 , 295 ] consider general sparse Hamiltonians. The works [ 170 , 244 , 382 ] consider Hamiltonians expressible as a linear combination of efficiently implementable unitary operators. Some works, such as [ 293 , 470 , 496 ], consider the problem of simulating Hamiltonians \(H = \sum_j H_j \), where each \(e^{i H_j t} \) is efficiently implementable, while remaining indifferent to the nature of the implementation. The works [ 468 , 469 , 467 , 466 ] consider the problems that arise in simulating time-dependent Hamiltonians. The works [ 478 , 479 ] show that geometrically local Hamiltonians on lattices of fixed dimension can be simulated more efficiently than general Hamiltonians. Specifically, they show that the quantum runtime in this case is essentially linear in the spacetime volume of the process being simulated. A related result on the efficiency implications of approximate locality in systems of interacting Bosons is given in [ 480 ]. If the state being simulated is low energy then the operator norm of the Hamiltonian yields only a loose upper bound on Trotter error; tighter upper bounds in this case are given in [ 481 , 482 , 483 ]. Other works consider specific physical settings, such as chemical dynamics [ 63 , 68 , 227 , 310 , 375 ], condensed matter physics [ 1 , 99 , 145 ], relativistic quantum mechanics (the Dirac and Klein-Gordon equations) [ 367 , 369 , 370 , 371 ], open quantum systems [ 376 , 377 , 378 , 379 , 458 , 499 , 501 , 503 , 504 , 505 , 506 , 507 ], quantum field theory [ 107 , 166 , 228 , 229 , 230 , 368 , 484 ], and conformal field theory [ 495 ].",https://short.classiq.io/simulation; https://short.classiq.io/thermal_state_preparation; https://pennylane.ai/codebook/hamiltonian-simulation; https://qrisp.eu/general/tutorial/H2.html#ham-sim-fundamentals,https://quantumalgorithmzoo.org/
string-rewriting,String Rewriting,Approximation and Simulation Algorithms,Superpolynomial,,"String rewriting is a fairly general model of computation. String rewriting systems (sometimes called grammars) are specified by a list of rules by which certain substrings are allowed to be replaced by certain other substrings. For example, context free grammars, are equivalent to the pushdown automata. In [ 59 ], Janzing and Wocjan showed that a certain string rewriting problem is PromiseBQP-complete. Thus quantum computers can solve it in polynomial time, but classical computers probably cannot. Given three strings s,t,t' , and a set of string rewriting rules satisfying certain promises, the problem is to find a certain approximation to the difference between the number of ways of obtaining t from s and the number of ways of obtaining t' from s . Similarly, certain problems of approximating the difference in number of paths between pairs of vertices in a graph, and difference in transition probabilities between pairs of states in a random walk are also BQP-complete [ 58 ].",,https://quantumalgorithmzoo.org/
three-manifold-invariants,Three-manifold Invariants,Approximation and Simulation Algorithms,Superpolynomial,,"The Turaev-Viro invariant is a function that takes three-dimensional manifolds as input and produces a real number as output. Homeomorphic manifolds yield the same number. Given a three-manifold specified by a Heegaard splitting, a quantum computer can efficiently find a certain additive approximation to its Turaev-Viro invariant, and this approximation is BQP-complete [ 129 ]. Earlier, in [ 114 ], a polynomial-time quantum algorithm was given to additively approximate the Witten-Reshitikhin-Turaev (WRT) invariant of a manifold given by a surgery presentation. Squaring the WRT invariant yields the Turaev-Viro invariant. However, it is unknown whether the approximation achieved in [ 114 ] is BQP-complete. A suggestion of a possible link between quantum computation and three-manifold invariants was also given in [ 115 ].",,https://quantumalgorithmzoo.org/
weight-enumerators,Weight Enumerators,Approximation and Simulation Algorithms,Superpolynomial,,"Let C be a code on n bits, i.e. a subset of \( \mathbb{Z}_2^n \). The weight enumerator of C is \( S_C(x,y) = \sum_{c \in C} x^{|c|} y^{n-|c|} \) where | c | denotes the Hamming weight of c . Weight enumerators have many uses in the study of classical codes. If C is a linear code, it can be defined by \( C = \{c: Ac = 0\} \) where A is a matrix over \( \mathbb{Z}_2 \) In this case \( S_C(x,y) = \sum_{c:Ac=0} x^{|c|} y^{n-|c|} \). Quadratically signed weight enumerators (QWGTs) are a generalization of this: \( S(A,B,x,y) = \sum_{c:Ac=0} (-1)^{c^T B c} x^{|c|} y^{n-|c|} \). Now consider the following special case. Let A be an \( n \times n \) matrix over \( \mathbb{Z}_2 \) such that diag( A )=I. Let lwtr( A ) be the lower triangular matrix resulting from setting all entries above the diagonal in A to zero. Let l,k be positive integers. Given the promise that \( |S(A,\mathrm{lwtr}(A),k,l)| \geq \frac{1}{2} (k^2+l^2)^{n/2} \) the problem of determining the sign of \( S(A,\mathrm{lwtr}(A),k,l) \) is BQP-complete, as shown by Knill and Laflamme in [ 65 ]. The evaluation of QWGTs is also closely related to the evaluation of Ising and Potts model partition functions [ 67 , 45 , 46 ].",,https://quantumalgorithmzoo.org/
zeta-functions,Zeta Functions,Approximation and Simulation Algorithms,Superpolynomial,,"Let f ( x , y ) be a degree- d polynomial over a finite field \( \mathbb{F}_p \). Let \( N_r \) be the number of projective solutions to f ( x , y ) = 0 over the extension field \( \mathbb{F}_{p^r} \). The zeta function for f is defined to be \( Z_f(T) = \exp \left( \sum_{r=1}^\infty \frac{N_r}{r} T^r \right) \). Remarkably, \( Z_f(T) \) always has the form \( Z_f(T) = \frac{Q_f(T)}{(1-pT)(1-T)} \) where \( Q_f(T) \) is a polynomial of degree 2 g and \(g = \frac{1}{2} (d-1)(d-2) \) is called the genus of f . Given \( Z_f(T) \) one can easily compute the number of zeros of f over any extension field \( \mathbb{F}_{p^r} \). One can similarly define the zeta function when the original field over which f is defined does not have prime order. As shown by Kedlaya [ 64 ], quantum computers can determine the zeta function of a genus g curve over a finite field \( \mathbb{F}_{p^r} \) in \( \mathrm{poly}(\log p, r, g) \) time. The fastest known classical algorithms are all exponential in either log( p ) or g . In a different, but somewhat related context, van Dam has conjectured that due to a connection between the zeros of Riemann zeta functions and the eigenvalues of certain quantum operators, quantum computers might be able to efficiently approximate the number of solutions to equations over finite fields [ 87 ].",,https://quantumalgorithmzoo.org/
adiabatic-algorithms,Adiabatic Algorithms,"Optimization, Numerics, and Machine Learning",A plausible example of superpolynomial speedup appears in [ 530 ],grover search; adiabatic; quantum annealing,"In adiabatic quantum computation one starts with an initial Hamiltonian whose ground state is easy to prepare, and slowly varies the Hamiltonian to one whose ground state encodes the solution to some computational problem. By the adiabatic theorem, the system will track the instantaneous ground state provided the variation of the Hamiltonian is sufficiently slow. The runtime of an adiabatic algorithm scales at worst as \(1/ \gamma^3 \) where \( \gamma \) is the minimum eigenvalue gap between the ground state and the first excited state [ 185 ]. If the Hamiltonian is varied sufficiently smoothly, one can improve this to \( \widetilde{O}(1/\gamma^2) \) [ 247 ]. Optimization by adiabatic quantum computation traces back to the pioneering works of [ 96 , 186 , 199 , 198 , 509 ]. Adiabatic quantum algorithms for optimization problems typically use ""stoquastic"" Hamiltonians, which do not suffer from the sign problem. Such algorithms are sometimes referred to as quantum annealing. Adiabatic quantum computation with non-stoquastic Hamiltonians is as powerful as the quantum circuit model [ 97 ]. Adiabatic algorithms using stoquastic Hamiltonians are probably less powerful [ 183 ], but are likely more powerful than classical computation [ 429 ]. The asymptotic runtime of adiabatic optimization algorithms is notoriously difficult to analyze, but some progress has been achieved [ 179 , 180 , 181 , 182 , 187 , 188 , 189 , 190 , 191 , 226 , 508 ]. In the case that the Hamiltonian is a continuous variable Laplacian plus potential (or discretization of such) adiabatic optimization is sometimes referred to as quantum Hamiltonian descent [ 529 ]. A problem that is solved by quantum Hamiltonian descent in polynomial time but for which no polynomial time classical algorithm seems to be known is given in [ 530 ]. Adiabatic quantum computers can perform a process somewhat analogous to Grover search in \( O(\sqrt{N}) \) time [ 98 ]. Adiabatic quantum algorithms achieving quadratic speedup for a more general class of problems are constructed in [ 184 ] by adapting techniques from [ 85 ]. Adiabatic quantum algorithms have been proposed for several specific problems, including PageRank [ 176 ], machine learning [ 192 , 195 ], finding Hadamard matrices [ 406 ], solving linear systems [ 517 , 518 ] and graph problems [ 193 , 194 ]. Some quantum simulation algorithms also use adiabatic state preparation.",https://short.classiq.io/adiabatic_qlsp,https://quantumalgorithmzoo.org/
approximating-nash-equilibria,Approximating Nash Equilibria,"Optimization, Numerics, and Machine Learning",Polynomial,,"Given oracle access to an \( m \times n \) payoff matrix of a zero-sum game, we wish to compute an \(\epsilon\)-approximate Nash equilibrium. Classically, the best algorithm for this has runtime \( \widetilde{O}((m+n) \epsilon^{-2}) \). The quantum algorithm of [ 485 ], improving on the prior result of [ 486 ] achieves this in runtime \( \widetilde{O}( \sqrt{m+n} \epsilon^{-2.5} + \epsilon^{-3}) \) by making a connection between Nash equilibria and Gibbs sampling.",,https://quantumalgorithmzoo.org/
